Codes,New_Code,Borough,Names,Population_and_Age_Age_structure_(percentage)__2013_Aged_015,Population_and_Age_Age_structure_(percentage)__2013_Aged_1664,Population_and_Age_Age_structure_(percentage)__2013_Aged_65+,Population_and_Age_Aged_015_2013,Population_and_Age_Aged_1664_2013,Population_and_Age_Aged_65+_2013,Population_and_Age_All_ages_2013,Population_and_Age_Mean_age_2013,Population_and_Age_Median_age_2013,Area_and_Density_Population_density_(persons_per_sq_km)_2013,Diversity_Ethnic_Group_5_groups__2011_Census_White,Diversity_Ethnic_Group_5_groups__2011_Census_Mixed,Diversity_Ethnic_Group_5_groups__2011_Census_Asian_or_Asian_British,Diversity_Ethnic_Group_5_groups__2011_Census_Black_or_Black_British,Diversity_Ethnic_Group_5_groups__2011_Census_Other,Births_and_deaths_Births_2013,Births_and_deaths_Deaths_2013,Births_and_deaths_Standardised_Mortality_Ratio_(SMR)_2013,Life_Expectancy_Life_expectancy_at_age_65_(all_persons)_20092013,House_Prices_Median_House_Price_2013,Household_Income_Mean_Modelled_Household_income_(£)_2012/13,"Crime_Burglary,_Burglary_In_A_Dwelling_(2014)_","Crime_Burglary,_Burglary_In_Other_Buildings_(2014)_","Crime_Criminal_Damage,_Criminal_Damage_To_Dwelling_(2014)_","Crime_Criminal_Damage,_Criminal_Damage_To_Motor_Vehicle_(2014)_","Crime_Criminal_Damage,_Criminal_Damage_To_Other_Building_(2014)_","Crime_Drugs,_Drug_Trafficking_(2014)_","Crime_Drugs,_Possession_Of_Drugs_(2014)_","Crime_Robbery,_Business_Property_(2014)_","Crime_Robbery,_Personal_Property_(2014)_","Crime_Sexual_Offences,_Rape_(2014)_","Crime_Theft_&_Handling,_Handling_Stolen_Goods_(2014)_","Crime_Theft_&_Handling,_Motor_Vehicle_Interference_&_Tampering_(2014)_","Crime_Theft_&_Handling,_Theft_From_Motor_Vehicle_(2014)_","Crime_Theft_&_Handling,_Theft_From_Shops_(2014)_","Crime_Theft_&_Handling,_Theft/Taking_Of_Motor_Vehicle_(2014)_","Crime_Theft_&_Handling,_Theft/Taking_Of_Pedal_Cycle_(2014)_","Crime_Violence_Against_The_Person,_Assault_With_Injury_(2014)_","Crime_Violence_Against_The_Person,_Common_Assault_(2014)_","Crime_Violence_Against_The_Person,_Harassment_(2014)_","Crime_Violence_Against_The_Person,_Offensive_Weapon_(2014)_","Crime_Violence_Against_The_Person,_Wounding/GBH_(2014)_",Crime_Total_crime_rate_2013/14,Crime_Total_crime_(numbers)_2013/14
00AGGN,E05000137,Camden,Highgate,17.04035874,66.8161435,16.14349776,1900,7450,1750,11100,39.96406432,40,3484.375,8745,691,624,606,289,134,62,70.9,23.41909554,558000,75250,70,39,18,25,9,1,20,6,25,3,2,20,105,2,63,39,55,64,58,2,13,63.53615915,709
00AGGP,E05000138,Camden,Holborn and Covent Garden,12.96296296,77.40740741,10,1700,10450,1350,13500,36.1502963,33,11250,7839,746,2994,990,454,112,49,68.4,24.15986658,630000,61920,105,236,29,60,49,12,246,6,103,12,4,33,235,286,74,220,132,159,209,10,73,323.561825,4407
00AGGQ,E05000139,Camden,Kentish Town,15.63636364,74.54545455,9.454545455,2150,10300,1300,13750,35.46240629,33,13750,9606,828,1473,1097,413,147,87,124.4,17.85293677,560000,63670,83,58,24,37,16,3,75,4,29,6,5,18,58,44,47,64,61,95,123,3,36,89.41210458,1239
00AGGR,E05000140,Camden,Kilburn,17.55102041,71.42857143,11.42857143,2150,8700,1400,12250,36.07731202,33,17500,7213,643,1633,1648,901,203,101,134.7,17.70274062,427500,53190,85,50,14,32,15,4,76,5,40,5,3,13,72,169,26,27,76,106,110,5,44,103.5992218,1282
00AGGS,E05000141,Camden,King's Cross,13.6,78.8,7.2,1650,9750,900,12300,31.52138738,27,20833.33333,6015,650,3467,1280,431,101,52,108.5,23.34521278,312125,50390,106,97,13,22,25,11,75,2,54,6,2,11,53,8,39,44,68,92,110,9,36,120.6688641,1502
00AGGT,E05000142,Camden,Regent's Park,15.43859649,75.43859649,9.473684211,2150,10750,1350,14250,33.97519445,29,10961.53846,7536,625,3341,1360,666,168,69,88.7,20.88625037,547500,52460,56,79,34,52,24,8,129,7,82,10,2,18,72,40,33,59,108,119,133,5,43,131.0939565,1885
00AGGU,E05000143,Camden,St. Pancras and Somers Town,18.54304636,72.84768212,8.940397351,2800,11000,1350,15100,33.09217138,29,10785.71429,7045,790,3403,1977,603,193,75,103.6,20.02637398,500000,46850,66,69,24,45,13,9,75,0,30,9,2,6,50,13,23,78,97,127,109,3,39,89.58456389,1366
00AGGW,E05000144,Camden,Swiss Cottage,16.41221374,71.3740458,11.83206107,2150,9350,1550,13050,36.8348245,34,10076.92308,8719,547,2388,653,593,227,72,72.9,22.70228553,625000,79860,112,38,20,30,8,3,27,4,26,4,2,18,105,58,32,31,32,49,56,3,21,69.97416806,922
00AGGX,E05000145,Camden,West Hampstead,12.95546559,78.13765182,8.906882591,1600,9650,1100,12350,35.40391459,33,13722.22222,8384,693,1563,987,433,166,47,82.8,22.74653058,507500,72450,115,83,21,34,11,2,31,4,22,5,2,10,62,41,18,38,45,54,90,1,18,75.94835191,948
00AHGE,E05000146,Croydon,Addiscombe,19.59654179,70.31700288,9.798270893,3350,12300,1700,17350,35.50982539,34,10843.75,9520,1342,2968,2749,304,302,111,113.8,19.18647919,225000,46520,75,45,32,41,5,4,75,3,30,11,2,6,76,25,40,11,77,84,76,2,37,61.57479408,1072
00AHGF,E05000147,Croydon,Ashburton,20.33333333,65.66666667,14,3000,9850,2100,15000,38.03382382,38,5555.555556,9315,1010,1642,2554,200,168,87,80,21.5897884,295000,47220,75,25,32,29,9,7,34,6,16,9,1,6,62,157,27,4,60,56,52,2,19,51.41559829,770
00AHGG,E05000148,Croydon,Bensham Manor,23.10030395,66.56534954,10.3343465,3850,10900,1650,16400,34.82458169,34,11750,4300,1132,4514,5902,353,385,69,79.7,21.68785217,220000,40730,91,28,35,45,12,7,49,7,46,16,3,10,114,14,42,6,97,80,70,9,35,71.19760844,1168
00AHGH,E05000149,Croydon,Broad Green,26.28865979,66.2371134,7.474226804,5100,12850,1450,19350,32.0162413,31,7185.185185,5854,1369,6272,4651,506,380,84,108.2,20.14081013,210000,37670,136,88,59,114,27,30,228,13,114,19,6,9,143,437,46,21,216,248,220,18,92,157.769747,3058
00AHGJ,E05000150,Croydon,Coulsdon East,18.32669323,60.15936255,21.11553785,2350,7500,2650,12500,42.32031873,44,1629.87013,10354,571,636,589,94,129,94,66.7,23.22608258,325000,52750,82,21,17,29,2,2,15,1,12,6,0,7,36,6,16,1,30,33,38,3,11,36.14265153,452
00AHGK,E05000151,Croydon,Coulsdon West,19.49458484,64.98194946,15.88447653,2650,9050,2200,13850,39.75652299,41,2770,10054,651,1834,768,142,128,99,86.7,19.46157958,340000,58380,85,33,13,35,3,3,21,4,13,3,2,8,71,25,22,1,47,45,58,5,13,49.47353238,694
00AHGL,E05000152,Croydon,Croham,18.88544892,68.73065015,12.38390093,3100,10950,2000,16000,37.09648634,35,4614.285714,10846,1006,2060,1622,256,250,97,88.6,19.7609926,230000,52180,75,60,18,41,8,3,33,4,19,8,2,6,96,19,38,7,59,84,81,4,25,63.35039321,1015
00AHGM,E05000153,Croydon,Fairfield,18.44155844,70.64935065,10.90909091,3550,13600,2100,19200,35.20595263,33,5065.789474,8493,1008,4461,2204,403,329,119,90.1,19.34185651,196462.5,47920,114,137,22,92,64,12,418,12,110,32,7,12,78,586,35,56,313,311,283,42,179,188.4140946,3620
00AHGN,E05000154,Croydon,Fieldway,29.91452991,59.82905983,10.25641026,3500,7000,1200,11700,31.95366499,29,7800,7531,799,460,2576,113,169,74,128,20.76485505,187000,32760,34,14,42,52,6,2,32,4,16,9,1,4,39,23,17,3,88,83,83,6,27,63.0453379,737
00AHGP,E05000155,Croydon,Heathfield,18.51851852,64.07407407,17.40740741,2500,8650,2350,13450,40.11359763,40,1551.724138,9961,569,1290,1263,130,178,72,60,22.2370577,220000,48780,115,40,13,39,5,3,55,1,22,11,0,14,88,81,13,7,51,36,67,9,25,68.28978622,920
00AHGQ,E05000156,Croydon,Kenley,20.45454545,63.63636364,15.58441558,3200,9750,2400,15350,38.97550198,39,2369.230769,11492,756,1491,1044,183,195,135,100.9,19.45116365,295000,54850,63,24,19,33,2,2,15,1,9,5,0,13,70,10,10,1,45,47,69,1,10,36.63624511,562
00AHGR,E05000157,Croydon,New Addington,25.33936652,61.99095023,13.12217195,2750,6850,1450,11050,35.35140998,33,4604.166667,8239,504,389,1546,123,170,106,133.7,18.2662694,199999.5,35060,27,20,28,41,13,2,24,2,9,8,0,7,51,61,14,3,73,85,88,1,29,66.11196527,731
00AHGS,E05000158,Croydon,Norbury,21.06824926,65.57863501,13.64985163,3500,11100,2300,16850,37.03412665,35,6740,6207,1110,4671,4105,383,275,137,114.4,19.82449838,310000,44870,111,59,16,32,10,4,61,3,42,3,1,18,98,7,43,15,71,72,80,9,33,65.6379822,1106
00AHGT,E05000159,Croydon,Purley,19.14191419,65.01650165,15.84158416,2900,9800,2350,15100,38.98615598,38,3607.142857,9992,861,2285,1211,258,179,98,71.3,21.1755841,302500,55480,74,42,19,38,8,3,39,0,40,7,0,12,165,97,19,7,62,75,92,1,37,67.47816883,1021
